index,variable,label_pt,included,eleg,V1,V2,V3,repeating_instrument,form_name_en,field_type,col_types,choices,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,branching_logic_(show_field_only_if...),required_field?,field_annotation,variable_column_(original),factor,level_pt,variable_original,label_original,form_name_pt,label_en
184,ecap_13_meal_frequency,Escore ECAP frequência de refeições,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap13] = '1',0,if([ecap13] = '2',0,if([ecap13] = '3',2,if([ecap13] = '4',3,'')))))",GB,,,ecap_score_13,ECAP SCORE 13,escala_de_compulso_alimentar,ECAP meal frequency score
185,ecap_14_worry,Escore ECAP preocupação,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap14] = '1',0,if([ecap14] = '2',1,if([ecap14] = '3',2,if([ecap14] = '4',3,'')))))",GC,,,ecap_score_14,ECAP SCORE 14,escala_de_compulso_alimentar,ECAP worry score
186,ecap_15_food_thoughts,Escore ECAP pensamentos sobre comida,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap15] = '1',0,if([ecap15] = '2',1,if([ecap15] = '3',2,if([ecap15] = '4',3,'')))))",GD,,,ecap_score_15,ECAP SCORE 15,escala_de_compulso_alimentar,ECAP food thoughts score
187,ecap_16_hunger_awareness,Escore ECAP consciência da fome,0,0,1,0,1,0,ecap,text,i,,,integer,,,,," @HIDDEN-SURVEY
@CALCTEXT(if([ecap16] = '1',0,if([ecap16] = '2',1,if([ecap16] = '3',2,'')))))",GE,,,ecap_score_16,ECAP SCORE 16,escala_de_compulso_alimentar,ECAP hunger awareness score
188,ecap_score,Resultado ECAP,1,0,1,0,1,0,ecap,calc,d,"sum([ecap_score_1], [ecap_score_2], [ecap_score_3], [ecap_score_4], [ecap_score_5], [ecap_score_6], [ecap_score_7], [ecap_score_8], [ecap_score_9], [ecap_score_10], [ecap_score_11], [ecap_score_12], [ecap_score_13], [ecap_score_14], [ecap_score_15], [ecap_score_16])",,,,,,, @HIDDEN-SURVEY,GF,,,ecap_result,ECAP Result,escala_de_compulso_alimentar,ECAP score
189,ecap_pdf_upload,Upload PDF ECAP,0,0,1,0,1,0,ecap,file,c,,,,,,,, @HIDDEN-SURVEY,GG,,,ecap_upload,PDF upload,escala_de_compulso_alimentar,ECAP PDF Upload
190,ecap_complete,Formulário escala_de_compulso_alimentar completo?,0,0,1,0,1,0,ecap,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,GH,"data$ecap_complete.factor = factor(data$ecap_complete,levels=c(""0"",""1"",""2"")) # ecap_complete 76","levels(data$ecap_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # ecap_complete 73",escala_de_compulso_alimentar_complete,Complete?,escala_de_compulso_alimentar,Form escala_de_compulso_alimentar complete?
191,height,Altura (cm),1,0,1,1,1,0,measures,text,d,,,number_1dp,,,,y," @PLACEHOLDER = 'xxx.x'
Body Height (NCIT: C164634)",GI,,,height,"Altura aferida em estadiômetro, expressa em centimetros(utilizar ponto como separador decimal e uma casa decimal)",antropometria,Height (cm)
192,height_checked_cm,Altura aferida (cm),0,0,1,1,1,0,measures,text,d,,,number_1dp,,,,y," @PLACEHOLDER = 'confirme o valor'
Body Height (NCIT: C164634)",GJ,,,height_chk,"Altura aferida em estadiômetro, expressa em centimetros(utilizar ponto como separador decimal e uma casa decimal)",antropometria,Checked height (cm)
193,weight,Peso (kg),1,0,1,1,1,0,measures,text,d,,,number_1dp,,200,,y," @PLACEHOLDER = 'xx.x or xxx.x'
Body Weight (NCIT: C81328)",GK,,,weight,"Peso aferido em balança calibrada, expresso em kilogramas:validação: uma casa decimal, ponto como separador decimal",antropometria,Weight (kg)
194,weight_checked_kg,Peso aferido (kg),0,0,1,1,1,0,measures,text,d,,,number_1dp,,200,,y," @PLACEHOLDER = 'confirme o valor'
Body Weight (NCIT: C81328)",GL,,,weight_chk,"Peso aferido em balança calibrada, expresso em kilogramas:validação: uma casa decimal, ponto como separador decimal",antropometria,Checked weight (kg)
195,abdomen,Circunferência abdominal (cm),1,0,1,1,1,0,measures,text,d,,,number_1dp,,,,y," @PLACEHOLDER = 'xx.x or xxx.x'
Abdominal Circumference (NCIT: C172954)",GM,,,abdcirc_c172954,"Circunferência abdominal, expressos em centímetos validação: uma casa decimal, ponto como separador; aferido na altura do umbigo ",antropometria,Abdominal circumference (cm)
196,abdominal_circ_checked_cm,Circunf. abdominal (cm),0,0,1,1,1,0,measures,text,d,,,number_1dp,,,,y," @PLACEHOLDER = 'confirme o valor'
Abdominal Circumference (NCIT: C172954)",GN,,,abdcirc_c172954_chk,"Circunferência abdominal, expressos em centímetos validação: uma casa decimal, ponto como separador; aferido na altura do umbigo ",antropometria,Checked abdominal circumference (cm)
197,arm,Circunferência do braço dominante (cm),1,0,1,1,1,0,measures,text,d,,,number_1dp,,,,,"Mid-Upper Arm Circumference (NCIT: C124475)
@PLACEHOLDER = 'xx.x cm'",GO,,,c124475,Circunferência do braço dominante (cm)Definição: Uma medida circunferencial da maior parte do braço superiorValidação: expresso em centímetros; ponto como separador decimal e uma casa decimal,antropometria,Dominant arm circumference (cm)
198,arm_circ_checked_cm,Circunferência do braço dominante (cm),0,0,1,1,1,0,measures,text,d,,,number_1dp,,,,," @PLACEHOLDER = 'confirme o valor'
Mid-Upper Arm Circumference (NCIT: C124475)",GP,,,c124475_chk,Circunferência do braço dominante (cm)Definição: Uma medida circunferencial da maior parte do braço superiorValidação: expresso em centímetros; ponto como separador decimal e uma casa decimal,antropometria,Checked dominant arm circumference (cm)
199,anthro_check_error,Erro verificação antropométrica,0,0,1,1,1,0,measures,calc,d,"if(
([height]<>'' and [height_chk]<>'' and [height]<>[height_chk]) or
([weight]<>'' and [weight_chk]<>'' and [weight]<>[weight_chk]) or
([abdcirc_c172954]<>'' and [abdcirc_c172954_chk]<>'' and [abdcirc_c172954]<>[abdcirc_c172954_chk]) or 
([c124475]<>'' and [c124475_chk]<>'' and [c124475]<>[c124475_chk])
,1,0)",,,,,,, @HIDDEN,GQ,,,anthro_chkerror,Checks for different types results for the variables of interest,antropometria,Anthropometric check error
200,anthro_check,Verificação antropométrica,0,0,1,1,1,0,measures,calc,d,"if([height]<>'' and [height_chk]<>'' and [height]=[height_chk] and
[weight]<>'' and [weight_chk]<>'' and [weight]=[weight_chk] and [abdcirc_c172954]<>'' and [abdcirc_c172954_chk]<>'' and [abdcirc_c172954]=[abdcirc_c172954_chk] and [c124475]<>'' and [c124475_chk]<>'' and [c124475]=[c124475_chk],1,0)",,,,,,, @HIDDEN,GR,,,anthro_chk,Checks if: 1. all fields have values 2. confirmation fields are identical to source field Results '1' if true or '0' if false,antropometria,Anthropometric check
201,bmi,IMC (Kg/m²),1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, round((([weight])/(([height]/100)^(2))), 2),'')",,,,,,,Body Mass Index Finding (NCIT: C138901),GS,,,bmi,IMC (Kg/m²),antropometria,BMI (Kg/m²)
202,weight_maxideal,Peso ideal máx,1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, rounddown(((([height]/100)^(2))*24.99), 1),'')",,,,,,,,GT,,,weight_maxideal,Peso ideal máximo,antropometria,Maximum ideal weight
203,weight_adjusted,Peso ajustado,1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, rounddown(([weight_maxideal] + (([weight] - [weight_maxideal])/4)), 1),'')",,,,,,,,GU,,,weight_adjusted,Peso ajustado,antropometria,Adjusted weight
204,kcal_kg20,20 kcal/kg (Peso Ajustado),1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, round(([weight_adjusted]*20),0),'')",,,,,,,,GV,,,kcal_kg20,20 kcal/kg do Peso Ajustado,antropometria,20 kcal/kg (Adjusted Weight)
205,kcal_kg22,22 kcal/kg (Peso Ajustado),1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, round(([weight_adjusted]*22),0),'')",,,,,,,,GW,,,kcal_kg22,22 kcal/kg do Peso Ajustado,antropometria,22 kcal/kg (Adjusted Weight)
206,diet_energy,Oferta energética para intervenção,1,0,1,1,1,0,measures,calc,d,"if([anthro_chk] = 1, (round(([weight_adjusted]*0.021),1))*1000,'')",,,,,,,Dietary Intervention (NCIT C15447),GX,,,dietaryenergy,Oferta energética mais adequada para a intervenção nutricional,antropometria,Energy intake for intervention
207,weight_loss_kg,Perda de peso (Kg),1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [weight] <> '', [2visit_arm_1][weight]-[1visit_arm_1][weight],if([event-number] = 4 and [weight]<> '',[3visit_arm_1][weight]-[1visit_arm_1][weight],''))",,,,,,,,GY,,,wlkg,Weight Loss (Kg),antropometria,Weight loss (kg)
208,weight_loss_percent,Perda de peso (%),1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [weight] <> '', (([2visit_arm_1][weight]-[1visit_arm_1][weight])/[1visit_arm_1][weight])*100,if([event-number] = 4 and [weight] <> '',(([3visit_arm_1][weight]-[1visit_arm_1][weight])/[1visit_arm_1][weight])*100,''))",,,,,,,,GZ,,,wl,Weight Loss (%),antropometria,Weight loss (%)
209,abdomen_loss_kg,Redução circunferência abdominal (cm),1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [abdcirc_c172954] <> '', [2visit_arm_1][abdcirc_c172954]-[1visit_arm_1][abdcirc_c172954],if([event-number] = 4 and [abdcirc_c172954] <> '',[3visit_arm_1][abdcirc_c172954]-[1visit_arm_1][abdcirc_c172954],''))",,,,,,,,HA,,,acr_cm,Adbominal circunference reduction (cm),antropometria,Abdominal circumference reduction (cm)
210,abdomen_loss_percent,Redução circunferência abdominal (%),1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [abdcirc_c172954] <> '', (([2visit_arm_1][abdcirc_c172954]-[1visit_arm_1][abdcirc_c172954])/[1visit_arm_1][abdcirc_c172954])*100,if([event-number] = 4 and [abdcirc_c172954] <> '',(([3visit_arm_1][abdcirc_c172954]-[1visit_arm_1][abdcirc_c172954])/[1visit_arm_1][abdcirc_c172954])*100,''))",,,,,,,,HB,,,acr,Abdominal circunference reduction (%),antropometria,Abdominal circumference reduction (%)
211,bmi_loss_absolute,Redução IMC,1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [bmi] <> '', [2visit_arm_1][bmi]-[1visit_arm_1][bmi],if([event-number] = 4 and [bmi] <> '',[3visit_arm_1][bmi]-[1visit_arm_1][bmi],''))",,,,,,,,HC,,,bmir_dec,BMI reduction (decimal points),antropometria,BMI reduction
212,bmi_loss_percent,Redução IMC (%),1,0,1,1,1,0,measures,calc,d,"if([event-number] = 3 and [bmi] <> '', (([2visit_arm_1][bmi]-[1visit_arm_1][bmi])/[1visit_arm_1][bmi])*100,if([event-number] = 4 and [bmi] <> '',(([3visit_arm_1][bmi]-[1visit_arm_1][bmi])/[1visit_arm_1][bmi])*100,''))",,,,,,,,HD,,,bmir,BMI Reduction (%),antropometria,BMI reduction (%)
213,antropometria_check,Comments on data checking,,0,0,0,0,0,measures,notes,c,,,,,,,,,HE,,,antropometria_conferencia,Notas sobre conferência,antropometria,
214,bodycount_complete,Formulário antropometria completo?,0,0,1,1,1,0,measures,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,HF,"data$bodycount_complete.factor = factor(data$bodycount_complete,levels=c(""0"",""1"",""2"")) # bodycount_complete 86","levels(data$bodycount_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # bodycount_complete 78",antropometria_complete,Complete?,antropometria,Form antropometria complete?
215,bpbia_form_open_date,Data abertura formulário BIA,0,0,1,0,0,0,bp_limb,text,T,,,datetime_dmy,,,,y," @NOW
@HIDEBUTTON",HG,,,bpbia_date,Data e hora da abertura do formulário:,presso_arterial_determinao_do_membro_de_referncia,BIA form opening date
216,bpbia_examiner,Examinador BIA,0,0,1,0,0,0,bp_limb,text,c,,,,,,,y, @USERNAME,HH,,,bpbia_examiner,Examinador,presso_arterial_determinao_do_membro_de_referncia,BIA examiner
217,bpbia_r_sw,@STOPWATCH,0,0,1,0,0,0,bp_limb,text,c,,,,,,,, @STOPWATCH,HI,,,bpbia_r_sw,"Após o participante ter deitado na maca de forma confortável, deve-se iniciar a aferição da PA após 5 minutos de decúbito dorsal, e a realização da BIA após 10 minutos do início do tempo de decúbito.  ",presso_arterial_determinao_do_membro_de_referncia,@STOPWATCH
218,cuff_size,Tamanho manguito,0,0,1,0,0,0,bp_limb,text,c,,,,,,,," @CALCTEXT(IF([c124475] < 35.0, 'Manguito/braçadeira adulto', 'Manguito/braçadeira adulto largo'))
@HIDDEN",HJ,,,bp_r_c124475,Tamanho do manguito apropriado  ,presso_arterial_determinao_do_membro_de_referncia,Cuff size
219,reference_systolic_right,PAS MSD,0,0,1,0,0,0,bp_limb,text,i,,,integer,01,999,,y,,HK,,,bp_ra_s,"1.1 Membro Superior Direito mmHg Pressão Arterial Sistólica   Validação: 2 ou 3 números inteiros, sem decimal bp_ra_s blood pressure, right arm, systolic",presso_arterial_determinao_do_membro_de_referncia,SBP right arm
220,reference_diastolic_right,PAD MSD,0,0,1,0,0,0,bp_limb,text,i,,,integer,01,999,,y,,HL,,,bp_ra_d,"1.2 Membro Superior Direito mmHg Pressão Arterial Diastólica   Validação: 2 ou 3 números inteiros, sem decimal bp_ra_d blood pressure, right arm, diastolic",presso_arterial_determinao_do_membro_de_referncia,DBP right arm
221,reference_mean_right,Pressão Arterial Média (mmHg) MSD,0,0,1,0,0,0,bp_limb,calc,d,"round([bp_ra_d] + (1/3*([bp_ra_s] - [bp_ra_d])),2)",,,,,,,,HM,,,bp_ra_mean,"1.3 Membro Superior Direito mmHg Pressão Arterial Média   Validação: 2 ou 3 números inteiros, sem decimal bp_ra_mean blood pressure, right arm, mean   Formula: MAP = DBP + 1/3 * (SBP - DBP) MAP Mean arterial pressure DBP Diastolic blood pressure SBP Systolic Blood Pressure",presso_arterial_determinao_do_membro_de_referncia,Mean arterial pressure (mmHg) right arm
222,reference_systolic_left,PAS MSE,0,0,1,0,0,0,bp_limb,text,i,,,integer,01,999,,y,,HN,,,bp_la_s,"2.1 Membro Superior Esquerdo mmHg Pressão Arterial Sistólica   Validação: 2 ou 3 números inteiros, sem decimal bp_la_s blood pressure, left arm, systolic",presso_arterial_determinao_do_membro_de_referncia,SBP left arm
223,reference_diastolic_left,PAD MSE,0,0,1,0,0,0,bp_limb,text,i,,,integer,01,999,,y,,HO,,,bp_la_d,"2.2 Membro Superior Esquerdo mmHg Pressão Arterial Diastólica   Validação: 2 ou 3 números inteiros, sem decimal bp_la_d blood pressure, left arm, diastolic",presso_arterial_determinao_do_membro_de_referncia,DBP left arm
224,reference_mean_left,Pressão Arterial Média (mmHg) MSE,0,0,1,0,0,0,bp_limb,calc,d,"round([bp_la_d] + (1/3*([bp_la_s] - [bp_la_d])),2)",,,,,,,,HP,,,bp_la_mean,"2.3 Membro Superior Esquerdo mmHg Pressão Arterial Média   Validação: 2 ou 3 números inteiros, sem decimal bp_la_mean blood pressure, left arm, mean   Formula: MAP = DBP + 1/3 * (SBP - DBP) MAP Mean arterial pressure DBP Diastolic blood pressure SBP Systolic Blood Pressure",presso_arterial_determinao_do_membro_de_referncia,Mean arterial pressure (mmHg) left arm
225,reference_member,Membro de referência,0,0,1,0,0,0,bp_limb,text,c,,,,,,,," @CALCTEXT(if([bp_ra_s] = '' or [bp_ra_d] = '' or [bp_la_s] = '' or [bp_la_d] = '', '', if([bp_la_mean] > [bp_ra_mean], 'braço esquerdo', 'braço direito')))
@HIDDEN",HQ,,,bp_reference,3 Membro de referência (membro com o maior valor de Pressão Arterial Média) bp_reference Reference member: member with highest mean arterial pressure  ,presso_arterial_determinao_do_membro_de_referncia,Reference limb
226,bp_limb_complete,Formulário presso_arterial_determinao_do_membro_de_referncia completo?,0,0,1,0,0,0,bp_limb,radio,f,"0, Incomplete | 1, Unverified |2, Complete",,,,,,,,HR,"data$bp_limb_complete.factor = factor(data$bp_limb_complete,levels=c(""0"",""1"",""2"")) # bp_limb_complete 82","levels(data$bp_limb_complete.factor)=c(""Incomplete"",""Unverified"",""Complete"") # bp_limb_complete 76",presso_arterial_determinao_do_membro_de_referncia_complete,Complete?,presso_arterial_determinao_do_membro_de_referncia,Form presso_arterial_determinao_do_membro_de_referncia complete?
227,bp_form_open_date,Data abertura formulário BP,0,0,1,1,1,0,bp,text,T,,,datetime_dmy,,,,y," @NOW
@HIDEBUTTON",HS,,,bp_datetime,Data e hora da abertura do formulário:,presso_arterial,BP form opening date
228,bp_examiner,Examinador BP,0,0,1,1,1,0,bp,text,c,,,,,,,y, @USERNAME,HT,,,bp_examiner,Examinador,presso_arterial,BP examiner
229,bp_start_sw,@STOPWATCH,0,0,1,1,1,0,bp,text,c,,,,,,,, @STOPWATCH,HU,,,bp_sw,"Após o participante ter deitado na maca de forma confortável, deve-se iniciar a aferição da PA após 5 minutos de decúbito dorsal, e a realização da BIA após 10 minutos do início do tempo de decúbito.  ",presso_arterial,@STOPWATCH
230,heart_rate,Frequência cardíaca,0,0,1,1,1,0,bp,text,i,,,integer,50,100,,y,"Heart Rate (NCIT: C49677)
@PLACEHOLDER = 'bpm'",HV,,,bp_c49677,Frequência cardíaca,presso_arterial,Heart rate
231,oxigen_saturation,Saturação de O2 (%),0,0,1,1,1,0,bp,text,i,,,integer,80,100,,y,"Oxygen Saturation Measurement (NCIT: C60832)
@PLACEHOLDER = '%'",HW,,,bp_c60832,Saturação de O2 (%),presso_arterial,O2 saturation (%)
232,systolic_1,PAS MSD 1 medida,0,0,1,1,1,0,bp,text,i,,,integer,01,999,,y,,HX,,,bp_r11s,"1.1 1ª medida   Pressão Arterial Sistólica   Validação: 2 ou 3 números inteiros, sem decimal bp_r11s Blood pressure, reference member, 1st measurement, systolic",presso_arterial,SBP right arm 1st measurement
233,diastolic_1,PAD MSD medida 1,0,0,1,1,1,0,bp,text,i,,,integer,01,999,,y,,HY,,,bp_r12d,"1.2 1ª medida   Pressão Arterial Diastólica   Validação: 2 ou 3 números inteiros, sem decimal bp_r12d Blood pressure, reference member, 1st measurement, diastolic",presso_arterial,DBP right arm 1st measurement
